analysis_id	matrix_id	plot_name	locality_desc	lat	lon	elev_mean	plot_age	plot_agestdev	num_taxa
36492	28753	BA05	Bison Alcove: Arches National Park	38.733	-109.500	1317 m	1930	80	10
36493	28754	BA07a	Bison Alcove: Arches National Park	38.733	-109.500	1317 m	1860	70	8
36494	28755	BA10	Bison Alcove: Arches National Park	38.733	-109.500	1317 m	2660	60	10
36495	28756	BA12	Bison Alcove: Arches National Park	38.733	-109.500	1317 m	15250	100	6
36496	28757	BA13	Bison Alcove: Arches National Park	38.733	-109.500	1317 m	20050	160	8
36497	28758	BA15	Bison Alcove: Arches National Park	38.733	-109.500	1317 m	16530	100	6
36498	28759	A1	Artillery Mountains: Artillery Mountains	34.333	-113.600	615 m	10250	200	12
36499	28760	SSF	Sierra de San Francisco: Baja California Sur	27.542	-113.100	780 m	10219	160	5
36500	28761	PV1	Puerto de Ventanillas: Bolson de Mapimi	26.033	-102.733	1370 m	12700	165	12
36501	28762	MUERTO1	Canyon del Muerto: Canyon de Chelly National Monument	36.146	-109.421	1770 m	11900	300	12
36502	28763	MUERTO2	Canyon del Muerto: Canyon de Chelly National Monument	36.163	-109.421	1770 m	3120	110	12
36503	28764	CCYN1A	Cowboy Canyon: Canyonlands	38.318	-110.202	1722 m	730	60	8
36504	28765	CCYN1B	Cowboy Canyon: Canyonlands	38.318	-110.202	1722 m	570	70	7
36505	28766	CCYN4	Cowboy Canyon: Canyonlands	38.318	-110.202	1734 m	1020	60	10
36506	28767	CCYN7	Cowboy Canyon: Canyonlands	38.318	-110.202	1704 m	1580	90	11
36507	28768	COWBOY1	Cowboy Cave: Canyonlands	38.318	-110.202	1713 m	7760	120	10
36508	28769	COWBOY2	Cowboy Cave: Canyonlands	38.318	-110.202	1713 m	1170	60	9
36509	28770	COWBOY3	Cowboy Cave: Canyonlands	38.318	-110.202	1713 m	2070	90	12
36510	28771	COWH1	Cowboy Canyon Head: Canyonlands	38.318	-110.202	1719 m	1570	70	10
36511	28772	COWH2	Cowboy Canyon Head: Canyonlands	38.318	-110.202	1719 m	410	60	9
36512	28773	COWH3A	Cowboy Canyon Head: Canyonlands	38.318	-110.202	1722 m	890	60	10
36513	28774	FCOW1	False Cowboy Cave: Canyonlands	38.318	-110.202	1722 m	3760	80	11
36514	28775	JWC1	Jim Walters Cave: Canyonlands	38.318	-110.202	1713 m	5960	60	12
36515	28776	SF1A	Spur Fork: Canyonlands	38.318	-110.202	1701 m	1690	80	7
36516	28777	SF1B	Spur Fork: Canyonlands	38.318	-110.202	1701 m	1180	80	7
36517	28778	SF2	Spur Fork: Canyonlands	38.318	-110.202	1676 m	710	60	8
36518	28779	SF6	Spur Fork: Canyonlands	38.318	-110.202	1689 m	1610	60	8
36519	28780	UPD3	Cowboy Uplands: Canyonlands	38.318	-110.202	1768 m	110	70	7
36520	28781	WSFC1	Cowboy Canyon: Canyonlands	38.318	-110.202	1728 m	710	90	10
36521	28782	BS1	Baker Shelter: Capitol Reef National Park	37.618	-110.888	(no data) m	0	0	11
36522	28783	BS2	Baker Shelter: Capitol Reef National Park	37.618	-110.888	(no data) m	410	50	10
36523	28784	BS3	Baker Shelter: Capitol Reef National Park	37.618	-110.888	(no data) m	20	80	8
36524	28785	HALL4	Halls Canyon: Capitol Reef National Park	37.618	-110.888	(no data) m	80	100	10
36525	28786	HALL6	Halls Canyon: Capitol Reef National Park	37.618	-110.888	(no data) m	105	70	6
36526	28787	HALL8	Halls Canyon: Capitol Reef National Park	37.618	-110.888	(no data) m	265	100	10
36527	28788	HD1a	Hartnet Draw: Capitol Reef National Park	38.250	-111.333	1920 m	1020	70	11
36528	28789	HD2	Hartnet Draw: Capitol Reef National Park	38.250	-111.333	1920 m	330	60	13
36529	28790	HD3	Hartnet Draw: Capitol Reef National Park	38.250	-111.333	1920 m	137	1	10
36530	28791	HD6	Hartnet Draw: Capitol Reef National Park	38.250	-111.333	1920 m	5450	90	11
36531	28792	HD7b	Hartnet Draw: Capitol Reef National Park	38.250	-111.333	1920 m	1275	110	12
36532	28793	HD8	Hartnet Draw: Capitol Reef National Park	38.250	-111.333	1920 m	630	100	7
36533	28794	HD9	Hartnet Draw: Capitol Reef National Park	38.250	-111.333	1920 m	2570	135	8
36534	28795	NWS2	Narrows: Capitol Reef National Park	37.618	-110.888	(no data) m	330	100	7
36535	28796	CAT3	La Catavina: Central Baja California	29.750	-114.750	550 m	1770	60	23
36536	28797	BW1	Basin Wash: Central Sheep Range	36.702	-115.263	1650 m	3520	100	16
36537	28798	BWREC	Basin Wash: Central Sheep Range	36.702	-115.263	1650 m	0	0	21
36538	28799	HF1	Hidden Forest: Central Sheep Range	36.565	-115.104	2400 m	11570	120	8
36539	28800	HF3A	Hidden Forest: Central Sheep Range	36.565	-115.104	2380 m	1600	120	12
36540	28801	HF3B	Hidden Forest: Central Sheep Range	36.565	-115.104	2380 m	820	100	13
36541	28802	HF3C(1)	Hidden Forest: Central Sheep Range	36.565	-115.104	2380 m	10060	130	12
36542	28803	HF3C(2)	Hidden Forest: Central Sheep Range	36.565	-115.104	2380 m	11940	140	7
36543	28804	HF3C(3)	Hidden Forest: Central Sheep Range	36.565	-115.104	2380 m	11860	160	6
36544	28805	ATLATL4A	Atlatl Cave: Chaco Canyon National Monument	36.083	-107.983	1910 m	5550	130	11
36545	28806	CHIQ1A	Casa Chiquita: Chaco Canyon National Monument	36.033	-107.900	1865 m	2360	70	13
36546	28807	CHIQ1B	Casa Chiquita: Chaco Canyon National Monument	36.033	-107.900	1865 m	3940	110	14
36547	28808	CHIQ4	Casa Chiquita: Chaco Canyon National Monument	36.033	-107.900	1860 m	4920	110	13
36548	28809	CHIQ5	Casa Chiquita: Chaco Canyon National Monument	36.033	-107.900	1860 m	1610	90	12
36549	28810	GALLO1	Gallo Wash: Chaco Canyon National Monument	36.033	-107.900	1896 m	2810	90	16
36550	28811	GALLO3	Gallo Wash: Chaco Canyon National Monument	36.033	-107.900	1908 m	460	190	11
36551	28812	GALLO4	Gallo Wash: Chaco Canyon National Monument	36.033	-107.900	1908 m	1940	150	9
36552	28813	GALLO5	Gallo Wash: Chaco Canyon National Monument	36.033	-107.900	1921 m	2070	90	14
36553	28814	GALLO6	Gallo Wash: Chaco Canyon National Monument	36.033	-107.900	1896 m	2820	300	13
36554	28815	GALLO7	Gallo Wash: Chaco Canyon National Monument	36.033	-107.900	1945 m	2160	80	10
36555	28816	MOCK1	Mockingbird Canyon: Chaco Canyon National Monument	36.033	-107.900	1930 m	1990	90	9
36556	28817	MOCK2	Mockingbird Canyon: Chaco Canyon National Monument	36.033	-107.900	1930 m	1910	90	7
36557	28818	MOCK3	Mockingbird Canyon: Chaco Canyon National Monument	36.033	-107.900	1935 m	3270	90	6
36558	28819	MOCK4	Mockingbird Canyon: Chaco Canyon National Monument	36.033	-107.900	1935 m	1230	60	10
36559	28820	MOCK5	Mockingbird Canyon: Chaco Canyon National Monument	36.033	-107.900	1935 m	1860	120	11
36560	28821	SCC1A	Sheep Camp Canyon Shelter: Chaco Canyon National Monument	36.083	-107.983	1980 m	6670	200	13
36561	28822	SCC2A	Sheep Camp Canyon Shelter: Chaco Canyon National Monument	36.083	-107.983	1980 m	3030	130	15
36562	28823	SCC2B	Sheep Camp Canyon Shelter: Chaco Canyon National Monument	36.083	-107.983	1980 m	2830	130	12
36563	28824	SCCMA	Sheep Camp Canyon Shelter: Chaco Canyon National Monument	36.083	-107.983	1980 m	0	0	18
36564	28825	WERITO2	Weritos Rincon: Chaco Canyon National Monument	36.033	-107.900	1900 m	1780	110	5
36565	28826	SCR	Salt Creek: Chocolate Mountains	33.500	-115.667	250 m	8640	100	17
36566	28827	FISH1	Fishmouth Cave: Comb Ridge	37.429	-109.650	1585 m	12770	140	12
36567	28828	FISH4	Fishmouth Cave: Comb Ridge	37.429	-109.650	1585 m	6100	100	16
36568	28829	FISH5	Fishmouth Cave: Comb Ridge	37.429	-109.650	1585 m	9700	110	15
36569	28830	FISH6	Fishmouth Cave: Comb Ridge	37.429	-109.650	1585 m	3550	60	16
36570	28831	FISH7	Fishmouth Cave: Comb Ridge	37.429	-109.650	1585 m	3740	70	13
36571	28832	FISH9	Fishmouth Cave: Comb Ridge	37.429	-109.650	1585 m	2260	90	19
36572	28833	CONH1	Connley Hills: Connley Hills	43.267	-121.067	(no data) m	0	0	6
36573	28834	CONH2	Connley Hills: Connley Hills	43.267	-121.067	(no data) m	0	0	7
36574	28835	SLM1(1)	Sugarloaf Mountain: Coso Range	36.022	-117.820	1280 m	0	0	16
36575	28836	SLM1(2)	Sugarloaf Mountain: Coso Range	36.022	-117.820	1280 m	0	0	10
36576	28837	SLM1(3)	Sugarloaf Mountain: Coso Range	36.022	-117.820	1280 m	2550	30	12
36577	28838	CRM3	Cricket Mountains: Cricket Mountains	38.970	-112.906	1634 m	970	50	5
36578	28839	GC1	Granite Canyon: Deep Creek Range	39.667	-113.833	2070 m	13620	700	5
36579	28840	SCH1A	Schoolhouse Canyon: Delano Mountains	41.485	-114.222	1580 m	1670	30	6
36580	28841	SCH1B	Schoolhouse Canyon: Delano Mountains	41.485	-114.222	1580 m	1300	30	7
36581	28842	GD1	Graben Dome: Diamond Craters	43.092	-118.760	1435 m	2390	260	6
36582	28843	GD10	Graben Dome: Diamond Craters	43.088	-118.747	1400 m	0	0	8
36583	28844	GD12	Graben Dome: Diamond Craters	43.088	-118.747	1400 m	2210	110	12
36584	28845	GD13	Graben Dome: Diamond Craters	43.088	-118.747	1400 m	1700	90	15
36585	28846	GD14	Graben Dome: Diamond Craters	43.088	-118.747	1400 m	2260	80	12
36586	28847	GD2	Graben Dome: Diamond Craters	43.092	-118.759	1410 m	835	55	6
36587	28848	GD3	Graben Dome: Diamond Craters	43.092	-118.760	1410 m	1625	150	8
36588	28849	GD4	Graben Dome: Diamond Craters	43.089	-118.749	1400 m	1960	110	11
36589	28850	GD5	Graben Dome: Diamond Craters	43.089	-118.749	1400 m	3270	100	13
36590	28851	GD6	Graben Dome: Diamond Craters	43.089	-118.749	1400 m	3380	80	17
36591	28852	GD7	Graben Dome: Diamond Craters	43.088	-118.749	1395 m	1540	130	22
36592	28853	GD8	Graben Dome: Diamond Craters	43.089	-118.748	1400 m	2360	80	12
36593	28854	GD9	Graben Dome: Diamond Craters	43.088	-118.747	1400 m	1560	60	13
36594	28855	NOLF1	Nolf Crater: Diamond Craters	43.107	-118.804	1295 m	4075	90	13
36595	28856	RA1	Rat Amber Ridge: Diamond Craters	42.500	-118.500	1330 m	3000	75	9
36596	28857	RA2	Rat Amber Ridge: Diamond Craters	42.500	-118.500	1330 m	2340	90	12
36597	28858	RA3	Rat Amber Ridge: Diamond Craters	42.500	-118.500	1330 m	2455	90	15
36598	28859	SPAT1	Spattercone Cave: Diamond Craters	42.500	-118.500	1280 m	2350	80	9
36599	28860	SPAT2	Spattercone Cave: Diamond Craters	42.500	-118.500	1280 m	3045	120	8
36600	28861	SPAT3	Spattercone Cave: Diamond Craters	42.500	-118.500	1280 m	2670	70	9
36601	28862	SUPC1	Surprise Cave: Diamond Craters	42.500	-118.500	1290 m	2800	110	10
36602	28863	SUPC4	Surprise Cave: Diamond Craters	42.500	-118.500	1290 m	2680	90	7
36603	28864	NAUQ01A	Sand Canyon Alcove: Dinosaur National Monument	40.333	-109.017	1920 m	9050	120	5
36604	28865	NAUQ02A	Sand Canyon Alcove: Dinosaur National Monument	40.333	-109.017	1920 m	8460	100	5
36605	28866	NAUQ02B	Sand Canyon Alcove: Dinosaur National Monument	40.333	-109.017	1920 m	9870	80	5
36606	28867	NAUQMOD	Sand Canyon Alcove: Dinosaur National Monument	40.333	-109.017	1920 m	0	0	7
36607	28868	DOL2	Dolores River: 	37.517	-108.550	2100 m	1450	160	14
36608	28869	DOL3	Dolores River: 	37.517	-108.550	2100 m	580	90	14
36609	28870	DOL4(1)	Dolores River: 	37.517	-108.550	2100 m	900	210	10
36610	28871	DOL4(2)	Dolores River: 	37.517	-108.550	2100 m	990	190	10
36611	28872	DOL5	Dolores River: 	37.517	-108.550	2100 m	670	40	7
36612	28873	EEM1	Eagle Eye Mountain: Eagle Eye Mountain	33.883	-113.167	812 m	22140	350	9
36613	28874	EEM10	Eagle Eye Mountain: Eagle Eye Mountain	33.883	-113.167	812 m	3340	60	17
36614	28875	EEM11	Eagle Eye Mountain: Eagle Eye Mountain	33.883	-113.167	812 m	2980	65	17
36615	28876	EEM2	Eagle Eye Mountain: Eagle Eye Mountain	33.883	-113.167	812 m	10440	70	20
36616	28877	EEM3	Eagle Eye Mountain: Eagle Eye Mountain	33.883	-113.167	812 m	6425	75	20
36617	28878	EEM4	Eagle Eye Mountain: Eagle Eye Mountain	33.883	-113.167	812 m	5130	65	15
36618	28879	EEM5	Eagle Eye Mountain: Eagle Eye Mountain	33.883	-113.167	812 m	5335	90	19
36619	28880	EEM6	Eagle Eye Mountain: Eagle Eye Mountain	33.883	-113.167	812 m	4040	70	20
36620	28881	EEM7	Eagle Eye Mountain: Eagle Eye Mountain	33.883	-113.167	812 m	4540	85	26
36621	28882	EEM8	Eagle Eye Mountain: Eagle Eye Mountain	33.883	-113.167	812 m	1885	60	25
36622	28883	EEM9	Eagle Eye Mountain: Eagle Eye Mountain	33.883	-113.167	812 m	1595	50	18
36623	28884	EBTM10	East Butte: East Butte	43.496	-112.663	1860 m	2380	90	8
36624	28885	EBTM24	East Butte: East Butte	43.498	-112.671	1767 m	0	0	9
36625	28886	EBTM6	East Butte: East Butte	43.496	-112.663	1860 m	2000	500	7
36626	28887	EBTM7	East Butte: East Butte	43.496	-112.663	1860 m	3210	140	7
36627	28888	EBTM8	East Butte: East Butte	43.496	-112.663	1860 m	2070	90	10
36628	28889	EBTM9	East Butte: East Butte	43.496	-112.663	1860 m	1830	110	6
36629	28890	SAW1A	Sawmill Canyon: East Central Sheep Range	36.693	-115.089	1755 m	3530	90	12
36630	28891	SAW1D	Sawmill Canyon: East Central Sheep Range	36.693	-115.089	1755 m	3040	75	12
36631	28892	CHU1	Chuar Valley: Eastern Grand Canyon	36.167	-111.917	1430 m	6830	175	5
36632	28893	CHU10	Chuar Valley: Eastern Grand Canyon	36.167	-111.917	1400 m	999	0	7
36633	28894	CHU2	Chuar Valley: Eastern Grand Canyon	36.167	-111.917	1450 m	16165	615	7
36634	28895	CHU4	Chuar Valley: Eastern Grand Canyon	36.156	-111.825	970 m	12015	365	5
36635	28896	CHU5	Chuar Valley: Eastern Grand Canyon	36.156	-111.825	970 m	1345	135	6
36636	28897	CHU8B	Chuar Valley: Eastern Grand Canyon	36.167	-111.917	1770 m	18800	800	5
36637	28898	CHU8C2	Chuar Valley: Eastern Grand Canyon	36.167	-111.917	1770 m	18490	660	5
36638	28899	CHU9	Chuar Valley: Eastern Grand Canyon	36.167	-111.917	1770 m	23350	1110	7
36639	28900	GP4	Grandview Point: Eastern Grand Canyon	36.000	-111.983	2200 m	5510	70	6
36640	28901	NANK10	Nankoweap: Eastern Grand Canyon	36.250	-111.950	2050 m	1170	80	9
36641	28902	NANK7A	Nankoweap: Eastern Grand Canyon	36.250	-111.950	2050 m	12170	210	7
36642	28903	NANK9A	Nankoweap: Eastern Grand Canyon	36.250	-111.950	2020 m	7870	140	8
36643	28904	NANK9B	Nankoweap: Eastern Grand Canyon	36.250	-111.950	2020 m	17950	600	6
36644	28905	NANK9C	Nankoweap: Eastern Grand Canyon	36.250	-111.950	2020 m	18130	350	5
36645	28906	SU1	Supai Group: Eastern Grand Canyon	36.014	-111.977	1620 m	2300	90	8
36646	28907	CR1A	Castle Rock: Echo Canyon	41.127	-111.166	1943 m	400	30	5
36647	28908	CR1B	Castle Rock: Echo Canyon	41.127	-111.166	1943 m	400	35	6
36648	28909	ECHC1	Echo Canyon: Echo Canyon	41.043	-111.321	1837 m	1165	30	5
36649	28910	ECHC2	Echo Canyon: Echo Canyon	41.061	-111.288	1869 m	370	30	11
36650	28911	ECHC3	Echo Canyon: Echo Canyon	41.061	-111.288	1869 m	130	30	7
36651	28912	ER2(1)	Eleana Range: Eleana Range	37.122	-116.234	1810 m	10620	120	13
36652	28913	ER2(2)	Eleana Range: Eleana Range	37.122	-116.234	1810 m	11700	85	12
36653	28914	ER2(3)	Eleana Range: Eleana Range	37.122	-116.234	1810 m	13180	65	10
36654	28915	ER2(5)	Eleana Range: Eleana Range	37.122	-116.234	1810 m	14260	110	9
36655	28916	ER2(7)	Eleana Range: Eleana Range	37.122	-116.234	1810 m	14760	100	8
36656	28917	ER2(9)	Eleana Range: Eleana Range	37.122	-116.234	1810 m	15890	120	9
36657	28918	ER3(6)	Eleana Range: Eleana Range	37.121	-116.230	1800 m	40600	850	10
36658	28919	ER3(8)2	Eleana Range: Eleana Range	37.121	-116.230	1800 m	44100	1300	10
36659	28920	ER3MOD	Eleana Range: Eleana Range	37.121	-116.230	1800 m	0	0	11
36660	28921	EV1	Eureka View: Eureka Valley	37.333	-117.783	1510 m	2635	140	10
36661	28922	EV2A	Eureka View: Eureka Valley	37.333	-117.783	1465 m	0	0	7
36662	28923	EV2B	Eureka View: Eureka Valley	37.333	-117.783	1465 m	1580	140	10
36663	28924	EV2C	Eureka View: Eureka Valley	37.333	-117.783	1465 m	3930	180	11
36664	28925	EV3	Eureka View: Eureka Valley	37.333	-117.783	1450 m	535	150	9
36665	28926	EV4(1)	Eureka View: Eureka Valley	37.333	-117.783	1435 m	5595	210	9
36666	28927	EV4(2)	Eureka View: Eureka Valley	37.333	-117.783	1435 m	6795	190	9
36667	28928	EV4(3)	Eureka View: Eureka Valley	37.333	-117.783	1435 m	5435	220	8
36668	28929	EV5A	Eureka View: Eureka Valley	37.333	-117.783	1430 m	14720	530	7
36669	28930	EV5B	Eureka View: Eureka Valley	37.333	-117.783	1430 m	8330	250	5
36670	28931	HTH1	Horse Thief Hills: Eureka Valley	37.367	-117.833	1615 m	10690	280	12
36671	28932	HTH2	Horse Thief Hills: Eureka Valley	37.367	-117.833	1635 m	199	0	13
36672	28933	HTH3(1)	Horse Thief Hills: Eureka Valley	37.367	-117.833	1575 m	199	0	8
36673	28934	FAIR1	Fairview Mountain: Fairview Mountain	33.446	-106.534	1618 m	0	0	7
36674	28935	FAIR2	Fairview Mountain: Fairview Mountain	33.446	-106.534	1618 m	9850	80	5
36675	28936	BULL	Bull Canyon: Fraser Plateau	52.090	-123.390	800 m	700	80	8
36676	28937	CVC1	Cove Canyon: Glen Canyon National Recreation Area	37.942	-110.238	1596 m	525	50	13
36677	28938	CVC11	Cove Canyon: Glen Canyon National Recreation Area	37.986	-110.251	1626 m	0	0	16
36678	28939	CVC2	Cove Canyon: Glen Canyon National Recreation Area	37.942	-110.238	1598 m	995	65	15
36679	28940	CVC20	Cove Canyon: Glen Canyon National Recreation Area	37.982	-110.249	1612 m	0	0	10
36680	28941	CVC21	Cove Canyon: Glen Canyon National Recreation Area	37.983	-110.250	1603 m	380	40	13
36681	28942	CVC22A	Cove Canyon: Glen Canyon National Recreation Area	37.983	-110.249	1607 m	275	40	18
36682	28943	CVC3	Cove Canyon: Glen Canyon National Recreation Area	37.942	-110.238	1600 m	0	0	14
36683	28944	CVC4A	Cove Canyon: Glen Canyon National Recreation Area	37.939	-110.235	1603 m	565	35	13
36684	28945	CVC5	Cove Canyon: Glen Canyon National Recreation Area	37.939	-110.235	1603 m	0	0	14
36685	28946	GST1	Gandolfs Staircase: Glen Canyon National Recreation Area	37.991	-110.166	1621 m	0	0	11
36686	28947	GST2	Gandolfs Staircase: Glen Canyon National Recreation Area	37.991	-110.166	1621 m	220	45	17
36687	28948	GST3	Gandolfs Staircase: Glen Canyon National Recreation Area	37.991	-110.167	1625 m	370	40	16
36688	28949	GST4	Gandolfs Staircase: Glen Canyon National Recreation Area	37.990	-110.167	1623 m	955	40	14
36689	28950	MESA1	5381 Mesa: Glen Canyon National Recreation Area	37.756	-110.475	1625 m	480	40	13
36690	28951	MESA2	5381 Mesa: Glen Canyon National Recreation Area	37.756	-110.475	1625 m	250	45	17
36691	28952	MESA3	5381 Mesa: Glen Canyon National Recreation Area	37.756	-110.475	1625 m	0	0	18
36692	28953	MESA4B	5381 Mesa: Glen Canyon National Recreation Area	37.750	-110.462	1417 m	435	40	17
36693	28954	MESA5	5381 Mesa: Glen Canyon National Recreation Area	37.750	-110.462	1411 m	0	0	12
36694	28955	MZP1	Mazuki Point: Glen Canyon National Recreation Area	37.152	-111.168	1431 m	0	0	16
36695	28956	MZP2	Mazuki Point: Glen Canyon National Recreation Area	37.156	-111.167	1409 m	0	0	17
36696	28957	MZP3	Mazuki Point: Glen Canyon National Recreation Area	37.155	-111.166	1402 m	0	0	16
36697	28958	WHF1	Waterhole Flat: Glen Canyon National Recreation Area	38.037	-110.151	1638 m	0	0	7
36698	28959	WHF10	Waterhole Flat: Glen Canyon National Recreation Area	38.037	-110.151	1645 m	0	0	17
36699	28960	WHF2A	Waterhole Flat: Glen Canyon National Recreation Area	38.037	-110.151	1638 m	325	55	10
36700	28961	WHF3	Waterhole Flat: Glen Canyon National Recreation Area	38.037	-110.151	1637 m	0	0	7
36701	28962	WHF4	Waterhole Flat: Glen Canyon National Recreation Area	38.037	-110.151	1645 m	490	55	9
36702	28963	WHF6	Waterhole Flat: Glen Canyon National Recreation Area	38.037	-110.152	1651 m	365	40	8
36703	28964	BE2a	Bonneville Estates: Goshute Mountains	40.455	-114.078	1530 m	13060	80	5
36704	28965	BE3a	Bonneville Estates: Goshute Mountains	40.455	-114.078	1550 m	11020	60	7
36705	28966	BE4b	Bonneville Estates: Goshute Mountains	40.455	-114.078	1550 m	12810	70	5
36706	28967	PS1	Pristine Shelter: Goshute Mountains	40.421	-114.040	1585 m	11830	70	5
36707	28968	WG1	West Goshutes: Goshute Range	40.640	-114.322	1900 m	3850	70	5
36708	28969	BOW3	Bow Cave: Grand Canyon	36.312	-111.864	1005 m	13420	90	5
36709	28970	CRC1	Crescendo Cave: Grand Canyon	36.312	-111.864	1155 m	20210	170	5
36710	28971	CRC3a	Crescendo Cave: Grand Canyon	36.312	-111.864	1155 m	20310	130	8
36711	28972	FWC1	Five Windows Cave: Grand Canyon	36.312	-111.864	1155 m	42930	1330	9
36712	28973	FWC3	Five Windows Cave: Grand Canyon	36.312	-111.864	1155 m	39170	890	9
36713	28974	PSW1	Peach Springs Wash: Grand Canyon	35.783	-113.500	885 m	12040	250	5
36714	28975	RBDC2	Rebound Cave: Grand Canyon	36.312	-111.864	1155 m	46370	3270	9
36715	28976	RBDC3	Rebound Cave: Grand Canyon	36.312	-111.864	1155 m	24570	160	9
36716	28977	RBDC4	Rebound Cave: Grand Canyon	36.312	-111.864	1155 m	19050	100	11
36717	28978	RBDC5	Rebound Cave: Grand Canyon	36.312	-111.864	1155 m	16610	90	7
36718	28979	RBDC6	Rebound Cave: Grand Canyon	36.312	-111.864	1155 m	17940	100	5
36719	28980	RBDC7	Rebound Cave: Grand Canyon	36.312	-111.864	1155 m	13970	90	5
36720	28981	SHRINE1	Shrine Cave: Grand Canyon	36.312	-111.864	1170 m	39220	1600	11
36721	28982	STCV1	Stevens Cave: Grand Canyon	36.312	-111.864	1170 m	12400	70	7
36722	28983	STCV2	Stevens Cave: Grand Canyon	36.312	-111.864	1170 m	15840	90	5
36723	28984	STCV5	Stevens Cave: Grand Canyon	36.312	-111.864	1170 m	13650	90	5
36724	28985	OWLR2	Owl Roost: Grand Canyon National Park	40.762	-105.204	1460 m	21430	1500	8
36725	28986	STC1(1)	Stantons Cave: Grand Canyon National Park	36.500	-111.958	900 m	14270	110	11
36726	28987	STC1(4)	Stantons Cave: Grand Canyon National Park	36.500	-111.958	900 m	18480	170	6
36727	28988	STC1(6)	Stantons Cave: Grand Canyon National Park	36.500	-111.958	900 m	17900	250	6
36728	28989	STC2(11)	Stantons Cave: Grand Canyon National Park	36.500	-111.958	900 m	13570	100	6
36729	28990	STC4(12)	Stantons Cave: Grand Canyon National Park	36.500	-111.958	900 m	13990	100	7
