Age (ka)	Global (°C)	1σ uncertainty (°C)		Northern Hemisphere (°C)	1σ uncertainty (°C)		Southern Hemisphere (°C)	1σ uncertainty (°C)		deltaT (°C)	1σ uncertainty (°C)		deltaT_Atlantic (°C)	1σ uncertainty (°C)
18.6	-3.38	0.12		-3.44	0.16		-3.27	0.18		-0.18	0.24		-1.26	0.38
18.7	-3.39	0.12		-3.44	0.15		-3.31	0.19		-0.12	0.24		-1.20	0.38
18.8	-3.42	0.12		-3.45	0.15		-3.38	0.19		-0.07	0.24		-1.22	0.39
18.9	-3.44	0.13		-3.45	0.16		-3.43	0.19		-0.02	0.24		-1.25	0.38
19	-3.43	0.13		-3.42	0.16		-3.45	0.18		0.03	0.24		-1.21	0.37
19.1	-3.42	0.12		-3.39	0.16		-3.45	0.19		0.06	0.24		-1.16	0.37
19.2	-3.43	0.12		-3.41	0.16		-3.46	0.18		0.05	0.24		-1.16	0.36
19.3	-3.45	0.12		-3.45	0.15		-3.47	0.18		0.02	0.23		-1.18	0.35
19.4	-3.44	0.12		-3.44	0.15		-3.45	0.18		0.02	0.23		-1.13	0.35
19.5	-3.42	0.12		-3.41	0.16		-3.43	0.18		0.01	0.23		-1.09	0.35
19.6	-3.40	0.12		-3.40	0.16		-3.41	0.17		0.01	0.23		-1.09	0.35
19.7	-3.40	0.12		-3.40	0.16		-3.39	0.18		-0.01	0.24		-1.12	0.36
19.8	-3.41	0.12		-3.43	0.16		-3.39	0.18		-0.04	0.24		-1.19	0.36
19.9	-3.43	0.12		-3.46	0.16		-3.39	0.18		-0.06	0.24		-1.24	0.35
20	-3.44	0.12		-3.47	0.16		-3.38	0.17		-0.09	0.23		-1.27	0.36
20.1	-3.44	0.12		-3.49	0.16		-3.37	0.17		-0.12	0.23		-1.29	0.36
20.2	-3.46	0.12		-3.51	0.16		-3.36	0.17		-0.15	0.23		-1.31	0.38
20.3	-3.46	0.12		-3.53	0.16		-3.36	0.18		-0.17	0.23		-1.32	0.37
20.4	-3.47	0.12		-3.54	0.16		-3.37	0.18		-0.16	0.23		-1.31	0.37
20.5	-3.48	0.12		-3.54	0.15		-3.39	0.17		-0.16	0.22		-1.32	0.37
20.6	-3.49	0.12		-3.55	0.15		-3.40	0.17		-0.15	0.22		-1.33	0.36
20.7	-3.50	0.12		-3.56	0.15		-3.41	0.17		-0.16	0.22		-1.36	0.36
20.8	-3.51	0.12		-3.57	0.15		-3.42	0.17		-0.15	0.22		-1.37	0.37
20.9	-3.52	0.12		-3.57	0.16		-3.43	0.18		-0.14	0.23		-1.37	0.38
21	-3.52	0.13		-3.58	0.16		-3.44	0.18		-0.14	0.23		-1.37	0.37
21.1	-3.53	0.12		-3.59	0.16		-3.45	0.17		-0.14	0.23		-1.38	0.37
21.2	-3.54	0.12		-3.60	0.16		-3.45	0.17		-0.15	0.23		-1.40	0.37
21.3	-3.55	0.12		-3.61	0.16		-3.46	0.17		-0.15	0.23		-1.40	0.38
21.4	-3.57	0.12		-3.63	0.17		-3.47	0.17		-0.16	0.24		-1.41	0.38
21.5	-3.58	0.12		-3.65	0.17		-3.48	0.17		-0.17	0.23		-1.41	0.38
21.6	-3.58	0.12		-3.65	0.17		-3.47	0.17		-0.18	0.23		-1.42	0.37
21.7	-3.58	0.12		-3.66	0.16		-3.47	0.17		-0.19	0.23		-1.44	0.36
21.8	-3.58	0.13		-3.66	0.16		-3.45	0.17		-0.20	0.22		-1.48	0.36
21.9	-3.56	0.13		-3.64	0.16		-3.45	0.18		-0.19	0.23		-1.50	0.36
22	-3.55	0.13		-3.62	0.17		-3.45	0.18		-0.17	0.23		-1.52	0.36

